
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-03-18完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：18.5kWh | 总费用：50481.78元
2025-03-19完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：8.0kWh | 总费用：51063.38元
2025-03-20完成 | 滚动常规 | q=0.70 | SOC：10785.0->10695.0 | 临时购电：4.5kWh | 总费用：50348.79元
2025-03-21完成 | 滚动常规 | q=0.70 | SOC：10695.0->10537.5 | 临时购电：47.5kWh | 总费用：18615.71元
2025-03-22完成 | 滚动常规 | q=0.70 | SOC：10537.5->10785.0 | 临时购电：66.2kWh | 总费用：19071.72元
2025-03-23完成 | 滚动常规 | q=0.70 | SOC：10785.0->10762.5 | 临时购电：17.3kWh | 总费用：49943.86元
2025-03-24完成 | 滚动常规 | q=0.70 | SOC：10762.5->10785.0 | 临时购电：9.6kWh | 总费用：50523.49元
2025-03-25完成 | 滚动常规 | q=0.70 | SOC：10785.0->10605.0 | 临时购电：22.8kWh | 总费用：47668.83元
2025-03-26完成 | 滚动常规 | q=0.70 | SOC：10605.0->10717.5 | 临时购电：10.8kWh | 总费用：48217.86元
2025-03-27完成 | 滚动常规 | q=0.70 | SOC：10717.5->10740.0 | 临时购电：27.4kWh | 总费用：47199.66元
2025-03-28完成 | 滚动常规 | q=0.70 | SOC：10740.0->10785.0 | 临时购电：31.5kWh | 总费用：18453.05元
2025-03-29完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：41.8kWh | 总费用：17828.38元
2025-03-30完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：22.2kWh | 总费用：47954.34元
2025-03-31完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：17.6kWh | 总费用：48644.70元
2025-04-01完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：21.2kWh | 总费用：46992.87元
2025-04-02完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：14.6kWh | 总费用：47519.49元
2025-04-03完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：22.1kWh | 总费用：47511.83元
2025-04-04完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：39.5kWh | 总费用：17602.23元
2025-04-05完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：27.8kWh | 总费用：17336.04元
2025-04-06完成 | 滚动常规 | q=0.70 | SOC：10785.0->10695.0 | 临时购电：7.8kWh | 总费用：48216.72元
2025-04-07完成 | 滚动常规 | q=0.70 | SOC：10695.0->10785.0 | 临时购电：13.2kWh | 总费用：45750.35元
2025-04-08完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：11.8kWh | 总费用：45523.05元
2025-04-09完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：16.4kWh | 总费用：45070.98元
2025-04-10完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：20.6kWh | 总费用：46429.52元
2025-04-11完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：13.0kWh | 总费用：16715.63元
2025-04-12完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：17.6kWh | 总费用：17166.88元
2025-04-13完成 | 滚动常规 | q=0.70 | SOC：10785.0->10762.5 | 临时购电：28.7kWh | 总费用：44775.79元
2025-04-14完成 | 滚动常规 | q=0.70 | SOC：10762.5->10717.5 | 临时购电：32.8kWh | 总费用：44319.58元
2025-04-15完成 | 滚动常规 | q=0.70 | SOC：10717.5->10785.0 | 临时购电：19.9kWh | 总费用：44867.88元
2025-04-16完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：12.5kWh | 总费用：43243.33元
2025-04-17完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：11.1kWh | 总费用：44083.48元
2025-04-18完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：27.0kWh | 总费用：16396.58元
2025-04-19完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：29.9kWh | 总费用：16416.74元
2025-04-20完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：12.3kWh | 总费用：42938.74元
2025-04-21完成 | 滚动常规 | q=0.70 | SOC：10785.0->10717.5 | 临时购电：27.5kWh | 总费用：44045.96元
2025-04-22完成 | 滚动常规 | q=0.70 | SOC：10717.5->10785.0 | 临时购电：11.7kWh | 总费用：44273.82元
2025-04-23完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：14.2kWh | 总费用：42919.81元
2025-04-24完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：10.9kWh | 总费用：42442.65元
2025-04-25完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：41.0kWh | 总费用：15398.07元
2025-04-26完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：19.5kWh | 总费用：15541.79元
2025-04-27完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：17.6kWh | 总费用：39975.84元
2025-04-28完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：15.2kWh | 总费用：42415.40元
2025-04-29完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：13.9kWh | 总费用：42335.65元
2025-04-30完成 | 滚动常规 | q=0.70 | SOC：10785.0->10762.5 | 临时购电：12.5kWh | 总费用：42526.98元
2025-05-01完成 | 滚动常规 | q=0.70 | SOC：10762.5->9817.5 | 临时购电：588.7kWh | 总费用：45571.96元
2025-05-02完成 | 滚动常规 | q=0.70 | SOC：9817.5->9885.0 | 临时购电：691.6kWh | 总费用：19797.66元
