
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-03-18完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：17.2kWh | 总费用：50449.51元
2025-03-19完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：8.0kWh | 总费用：51054.32元
2025-03-20完成 | 滚动常规 | q=0.70 | SOC：10807.5->10717.5 | 临时购电：4.5kWh | 总费用：50339.74元
2025-03-21完成 | 滚动常规 | q=0.70 | SOC：10717.5->10537.5 | 临时购电：43.5kWh | 总费用：18582.03元
2025-03-22完成 | 滚动常规 | q=0.70 | SOC：10537.5->10807.5 | 临时购电：66.2kWh | 总费用：19071.72元
2025-03-23完成 | 滚动常规 | q=0.70 | SOC：10807.5->10785.0 | 临时购电：17.3kWh | 总费用：49934.81元
2025-03-24完成 | 滚动常规 | q=0.70 | SOC：10785.0->10807.5 | 临时购电：9.6kWh | 总费用：50514.20元
2025-03-25完成 | 滚动常规 | q=0.70 | SOC：10807.5->10627.5 | 临时购电：22.8kWh | 总费用：47659.78元
2025-03-26完成 | 滚动常规 | q=0.70 | SOC：10627.5->10740.0 | 临时购电：10.8kWh | 总费用：48208.58元
2025-03-27完成 | 滚动常规 | q=0.70 | SOC：10740.0->10762.5 | 临时购电：27.4kWh | 总费用：47190.38元
2025-03-28完成 | 滚动常规 | q=0.70 | SOC：10762.5->10807.5 | 临时购电：31.5kWh | 总费用：18444.19元
2025-03-29完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：45.3kWh | 总费用：17827.33元
2025-03-30完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：22.2kWh | 总费用：47945.29元
2025-03-31完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：17.6kWh | 总费用：48635.65元
2025-04-01完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：25.9kWh | 总费用：46981.33元
2025-04-02完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：14.6kWh | 总费用：47510.44元
2025-04-03完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：19.9kWh | 总费用：47488.46元
2025-04-04完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：33.9kWh | 总费用：17581.22元
2025-04-05完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：29.0kWh | 总费用：17341.63元
2025-04-06完成 | 滚动常规 | q=0.70 | SOC：10807.5->10717.5 | 临时购电：7.8kWh | 总费用：48207.66元
2025-04-07完成 | 滚动常规 | q=0.70 | SOC：10717.5->10807.5 | 临时购电：13.2kWh | 总费用：45741.07元
2025-04-08完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：3.0kWh | 总费用：45458.66元
2025-04-09完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：16.4kWh | 总费用：45061.92元
2025-04-10完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：17.7kWh | 总费用：46400.91元
2025-04-11完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：13.0kWh | 总费用：16706.87元
2025-04-12完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：17.6kWh | 总费用：17158.12元
2025-04-13完成 | 滚动常规 | q=0.70 | SOC：10807.5->10785.0 | 临时购电：28.7kWh | 总费用：44766.73元
2025-04-14完成 | 滚动常规 | q=0.70 | SOC：10785.0->10717.5 | 临时购电：27.2kWh | 总费用：44272.39元
2025-04-15完成 | 滚动常规 | q=0.70 | SOC：10717.5->10807.5 | 临时购电：17.4kWh | 总费用：44843.58元
2025-04-16完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：12.5kWh | 总费用：43234.28元
2025-04-17完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：11.1kWh | 总费用：44074.42元
2025-04-18完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：23.6kWh | 总费用：16380.41元
2025-04-19完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：36.6kWh | 总费用：16422.32元
2025-04-20完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：12.3kWh | 总费用：42929.68元
2025-04-21完成 | 滚动常规 | q=0.70 | SOC：10807.5->10717.5 | 临时购电：20.4kWh | 总费用：43991.43元
2025-04-22完成 | 滚动常规 | q=0.70 | SOC：10717.5->10807.5 | 临时购电：14.9kWh | 总费用：44280.63元
2025-04-23完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：14.2kWh | 总费用：42910.76元
2025-04-24完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：10.9kWh | 总费用：42433.59元
2025-04-25完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：37.9kWh | 总费用：15382.35元
2025-04-26完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：14.9kWh | 总费用：15523.08元
2025-04-27完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：17.6kWh | 总费用：39966.79元
2025-04-28完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：13.3kWh | 总费用：42393.74元
2025-04-29完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：13.9kWh | 总费用：42326.60元
2025-04-30完成 | 滚动常规 | q=0.70 | SOC：10807.5->10785.0 | 临时购电：22.4kWh | 总费用：42539.71元
2025-05-01完成 | 滚动常规 | q=0.70 | SOC：10785.0->9817.5 | 临时购电：575.8kWh | 总费用：45475.53元
2025-05-02完成 | 滚动常规 | q=0.70 | SOC：9817.5->9885.0 | 临时购电：679.1kWh | 总费用：19738.78元
2025-05-03完成 | 滚动常规 | q=0.70 | SOC：9885.0->10042.5 | 临时购电：853.4kWh | 总费用：20448.12元
2025-05-04完成 | 滚动常规 | q=0.70 | SOC：10042.5->9907.5 | 临时购电：564.5kWh | 总费用：45576.14元
2025-05-05完成 | 滚动常规 | q=0.70 | SOC：9907.5->10042.5 | 临时购电：319.0kWh | 总费用：43599.13元
2025-05-06完成 | 滚动常规 | q=0.70 | SOC：10042.5->9817.5 | 临时购电：368.6kWh | 总费用：44015.67元
