
===== 开始运行 soc-step=25 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-03-18完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：16.1kWh | 总费用：50446.98元
2025-03-19完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：7.2kWh | 总费用：51061.54元
2025-03-20完成 | 滚动常规 | q=0.70 | SOC：10800.0->10750.0 | 临时购电：9.8kWh | 总费用：50383.94元
2025-03-21完成 | 滚动常规 | q=0.70 | SOC：10750.0->10525.0 | 临时购电：38.3kWh | 总费用：18552.49元
2025-03-22完成 | 滚动常规 | q=0.70 | SOC：10525.0->10800.0 | 临时购电：50.8kWh | 总费用：19039.39元
2025-03-23完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：25.7kWh | 总费用：49987.13元
2025-03-24完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：15.8kWh | 总费用：50543.30元
2025-03-25完成 | 滚动常规 | q=0.70 | SOC：10800.0->10700.0 | 临时购电：23.8kWh | 总费用：47634.72元
2025-03-26完成 | 滚动常规 | q=0.70 | SOC：10700.0->10775.0 | 临时购电：18.0kWh | 总费用：48201.14元
2025-03-27完成 | 滚动常规 | q=0.70 | SOC：10775.0->10800.0 | 临时购电：26.3kWh | 总费用：47150.68元
2025-03-28完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：32.8kWh | 总费用：18429.83元
2025-03-29完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：31.1kWh | 总费用：17798.37元
2025-03-30完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：42.9kWh | 总费用：48016.38元
2025-03-31完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：24.9kWh | 总费用：48673.40元
2025-04-01完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：35.1kWh | 总费用：47027.91元
2025-04-02完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：16.8kWh | 总费用：47525.18元
2025-04-03完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：19.0kWh | 总费用：47490.02元
2025-04-04完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：34.8kWh | 总费用：17586.04元
2025-04-05完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：30.7kWh | 总费用：17321.99元
2025-04-06完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：6.6kWh | 总费用：48213.54元
2025-04-07完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：12.8kWh | 总费用：45717.07元
2025-04-08完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：14.6kWh | 总费用：45497.04元
2025-04-09完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：20.0kWh | 总费用：45091.08元
2025-04-10完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：19.1kWh | 总费用：46427.93元
2025-04-11完成 | 滚动常规 | q=0.70 | SOC：10800.0->10750.0 | 临时购电：15.6kWh | 总费用：16697.70元
2025-04-12完成 | 滚动常规 | q=0.70 | SOC：10750.0->10800.0 | 临时购电：23.6kWh | 总费用：17210.50元
2025-04-13完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：16.9kWh | 总费用：44710.59元
2025-04-14完成 | 滚动常规 | q=0.70 | SOC：10800.0->10725.0 | 临时购电：32.8kWh | 总费用：44242.71元
2025-04-15完成 | 滚动常规 | q=0.70 | SOC：10725.0->10800.0 | 临时购电：6.0kWh | 总费用：44798.11元
2025-04-16完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：19.6kWh | 总费用：43274.57元
2025-04-17完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：18.8kWh | 总费用：44099.99元
2025-04-18完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：39.9kWh | 总费用：16424.45元
2025-04-19完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：49.8kWh | 总费用：16449.09元
2025-04-20完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：27.1kWh | 总费用：43000.11元
2025-04-21完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：13.5kWh | 总费用：43977.12元
2025-04-22完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：19.6kWh | 总费用：44247.15元
2025-04-23完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：11.5kWh | 总费用：42904.59元
2025-04-24完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：11.5kWh | 总费用：42432.92元
2025-04-25完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：63.6kWh | 总费用：15479.88元
2025-04-26完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：21.3kWh | 总费用：15548.65元
2025-04-27完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：24.2kWh | 总费用：39959.52元
2025-04-28完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：13.7kWh | 总费用：42373.81元
2025-04-29完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：11.7kWh | 总费用：42331.20元
